Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
30,1.0,0.0,0.0,565.0,10.0,27.0,1455.0,0.1,8.367599999999998,0.0,0.0,219.75025820732117,,,,,,,,,,,,,,,,,,,,,2.0702467813500594,2.769806181013581,8.328351711975788,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,587.0,11.0,22.0,1477.0,0.1,7.624400000000001,0.0,0.0,222.15373635292053,,,,,,,,,,,,,,,,,,,,,2.1915559526158392,2.625555874812398,7.591360899480513,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,624.0,12.0,37.0,1514.0,0.1,16.006200000000014,0.0,0.0,226.21137833595276,,,,,,,,,,,,,,,,,,,,,4.973809000891106,5.2996864566705595,15.853860934976044,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,645.0,13.0,21.0,1535.0,0.1,7.404600000000002,0.0,0.0,228.6357023715973,,,,,,,,,,,,,,,,,,,,,2.2344867662046006,2.630384914928466,7.372413231960393,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,674.0,14.0,29.0,1564.0,0.1,11.0854,0.0,0.0,231.58414101600647,,,,,,,,,,,,,,,,,,,,,3.229264293194174,3.7626095354770084,11.013767857444401,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,748.0,15.0,74.0,1638.0,0.1,36.004799999999975,0.0,0.0,238.4729483127594,,,,,,,,,,,,,,,,,,,,,15.54002150666581,10.470283770345418,34.924652789432805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,806.0,16.0,58.0,1696.0,0.1,18.14540000000001,0.0,0.0,244.05677199363708,,,,,,,,,,,,,,,,,,,,,7.298982679369225,4.957488003380319,17.757556359759732,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,832.0,17.0,26.0,1722.0,0.1,9.105199999999998,0.0,0.0,247.0767958164215,,,,,,,,,,,,,,,,,,,,,2.598791573081861,3.1191158081147474,9.055733831028094,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,902.0,18.0,70.0,1792.0,0.1,46.00519999999997,0.0,0.0,253.64552879333496,,,,,,,,,,,,,,,,,,,,,17.95295450813157,15.154612554596243,44.83812459549719,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,926.0,19.0,24.0,1816.0,0.1,9.623399999999998,0.0,0.0,256.28810143470764,,,,,,,,,,,,,,,,,,,,,3.100111121085656,3.3492594116119774,9.568124012995922,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
