Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
41,2.0,0.0,0.0,186.0,1.0,186.0,4619.0,0.1,122.94560000000001,0.0,0.0,872.1744658946991,,,,,,,,,,,,,,,,,,,,,52.70284573846521,34.45508519918572,113.3694963157808,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,465.0,2.0,279.0,4898.0,0.1,166.24800000000036,0.0,0.0,896.8959243297577,,,,,,,,,,,,,,,,,,,,,68.80466316228824,45.39025341615101,147.3460437191163,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,661.0,3.0,196.0,5094.0,0.1,113.32639999999985,0.0,0.0,914.431646823883,,,,,,,,,,,,,,,,,,,,,53.12647099501069,32.19342768003833,103.11974806135255,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,792.0,4.0,131.0,5225.0,0.1,50.20539999999992,0.0,0.0,926.326268196106,,,,,,,,,,,,,,,,,,,,,24.00542120192255,13.336847135888313,47.15495257274107,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,1009.0,5.0,217.0,5442.0,0.1,134.72460000000015,0.0,0.0,945.9391334056854,,,,,,,,,,,,,,,,,,,,,59.03490146445892,35.318167806794825,122.15822066532243,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,1112.0,6.0,103.0,5545.0,0.1,61.72599999999991,0.0,0.0,955.3455684185028,,,,,,,,,,,,,,,,,,,,,26.453601481114845,18.664166631154966,59.11945884567767,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,1153.0,7.0,41.0,5586.0,0.1,15.244799999999998,0.0,0.0,959.6093618869781,,,,,,,,,,,,,,,,,,,,,4.411277510080119,4.8554263450501916,15.094110749474916,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,1470.0,8.0,317.0,5903.0,0.1,151.04900000000043,0.0,0.0,987.4529848098755,,,,,,,,,,,,,,,,,,,,,57.52665959978736,40.757155635294055,133.07907397574502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,1553.0,9.0,83.0,5986.0,0.1,52.566999999999936,0.0,0.0,995.116283416748,,,,,,,,,,,,,,,,,,,,,20.02631650342459,17.025739428597205,51.00677827999748,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1720.0,10.0,167.0,6153.0,0.1,98.92539999999993,0.0,0.0,1010.0265483856201,,,,,,,,,,,,,,,,,,,,,45.88558026139092,27.93445148115181,91.44530726557166,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1776.0,11.0,56.0,6209.0,0.1,34.86439999999998,0.0,0.0,1015.5263192653656,,,,,,,,,,,,,,,,,,,,,13.675666582546816,11.644604314940553,34.16686222897311,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1807.0,12.0,31.0,6240.0,0.1,9.246799999999997,0.0,0.0,1019.0141427516937,,,,,,,,,,,,,,,,,,,,,2.31276189415157,2.970825216339499,9.193482152103355,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1863.0,13.0,56.0,6296.0,0.1,33.40439999999999,0.0,0.0,1024.492446899414,,,,,,,,,,,,,,,,,,,,,12.872279581697565,11.096204704232534,32.74901762966665,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1911.0,14.0,48.0,6344.0,0.1,30.145400000000013,0.0,0.0,1029.2889602184296,,,,,,,,,,,,,,,,,,,,,11.951332713890352,10.127269321323984,29.630968335435803,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1947.0,15.0,36.0,6380.0,0.1,18.224800000000005,0.0,0.0,1033.0052468776703,,,,,,,,,,,,,,,,,,,,,6.15471139590517,6.15212322289975,18.039290932321133,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,2010.0,16.0,63.0,6443.0,0.1,23.905200000000008,0.0,0.0,1039.0019986629486,,,,,,,,,,,,,,,,,,,,,9.987287547727227,6.8170083201437,23.32262280748535,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,2067.0,17.0,57.0,6500.0,0.1,27.188000000000013,0.0,0.0,1044.433210849762,,,,,,,,,,,,,,,,,,,,,8.502024035867608,9.013642505567375,26.75687161631657,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,2486.0,18.0,419.0,6919.0,0.1,241.36700000000098,0.0,0.0,1081.0742087364197,,,,,,,,,,,,,,,,,,,,,109.35670806482653,60.016599836600605,195.9382198222624,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,2770.0,19.0,284.0,7203.0,0.1,167.4470000000005,0.0,0.0,1106.394138097763,,,,,,,,,,,,,,,,,,,,,62.7765706118253,47.78351517599051,149.91814030871876,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,2818.0,20.0,48.0,7251.0,0.1,20.747000000000014,0.0,0.0,1111.0370514392853,,,,,,,,,,,,,,,,,,,,,7.12190807641993,6.727071412203135,20.446020006324492,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,323.0,1.0,323.0,7574.0,0.1,169.44700000000066,0.0,0.0,1392.4055993556976,,,,,,,,,,,,,,,,,,,,,65.61824380029974,45.305849276801354,148.54925721768134,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,648.0,2.0,325.0,7899.0,0.1,211.62680000000077,0.0,0.0,1421.1175537109375,,,,,,,,,,,,,,,,,,,,,84.65127388594931,55.05493238196449,184.48391934183073,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,704.0,3.0,56.0,7955.0,0.1,25.445799999999995,0.0,0.0,1426.5797023773193,,,,,,,,,,,,,,,,,,,,,9.05838379346452,8.19157466223202,24.988482484051605,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,917.0,4.0,213.0,8168.0,0.1,84.9861999999999,0.0,0.0,1445.5058267116547,,,,,,,,,,,,,,,,,,,,,35.705504936179956,22.069905405469708,77.53592175618438,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,1044.0,5.0,127.0,8295.0,0.1,47.10399999999989,0.0,0.0,1457.0005421638489,,,,,,,,,,,,,,,,,,,,,18.152997673140078,12.195159448491053,44.888301009228684,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,1125.0,6.0,81.0,8376.0,0.1,53.58539999999996,0.0,0.0,1464.8336055278778,,,,,,,,,,,,,,,,,,,,,21.649687770577103,16.986178028938635,51.93559454407688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,1294.0,7.0,169.0,8545.0,0.1,115.56639999999987,0.0,0.0,1480.0902576446533,,,,,,,,,,,,,,,,,,,,,48.58304910875784,34.407604305732015,107.57089892757622,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1452.0,8.0,158.0,8703.0,0.1,69.58819999999992,0.0,0.0,1494.3291172981262,,,,,,,,,,,,,,,,,,,,,25.97697172304219,19.24717993159423,65.61500285847342,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,1612.0,9.0,160.0,8863.0,0.1,68.28399999999989,0.0,0.0,1508.7138276100159,,,,,,,,,,,,,,,,,,,,,29.728611017095226,18.01639368953511,63.65466791843373,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1660.0,10.0,48.0,8911.0,0.1,25.226400000000012,0.0,0.0,1513.6867365837097,,,,,,,,,,,,,,,,,,,,,8.91973784766421,8.58890566523161,24.847923582553644,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,2390.0,11.0,730.0,9641.0,0.1,480.82540000000085,0.0,0.0,1577.6025078296661,,,,,,,,,,,,,,,,,,,,,194.1825945395818,99.54343987727258,339.7512687723814,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,2585.0,12.0,195.0,9836.0,0.1,104.88579999999985,0.0,0.0,1595.0648918151855,,,,,,,,,,,,,,,,,,,,,43.78198386259736,28.548196973650352,96.54129920390217,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,2616.0,13.0,31.0,9867.0,0.1,11.525199999999998,0.0,0.0,1598.287561416626,,,,,,,,,,,,,,,,,,,,,3.381316416918707,3.8600863436931463,11.443254256333933,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,2685.0,14.0,69.0,9936.0,0.1,26.746000000000002,0.0,0.0,1604.9554617404938,,,,,,,,,,,,,,,,,,,,,10.346864014842494,8.017382271317054,26.084208716199555,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,2740.0,15.0,55.0,9991.0,0.1,33.82599999999999,0.0,0.0,1610.5726475715637,,,,,,,,,,,,,,,,,,,,,12.652992454526999,11.342244086382056,33.19644510877346,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
